url,image,prep_time,difficulty
https://themeatmen.sg/lamb-ribs-with-furikake-by-hamzi/,https://themeatmen.sg/wp-content/uploads/2022/01/2022-01-07-15.05.46.jpeg,['1hr 15min'],easy
https://themeatmen.sg/curry-chicken-noodles/,https://themeatmen.sg/wp-content/uploads/2022/01/WP.png,['1 hr 20 min'],easy
https://themeatmen.sg/korean-pear-pie-with-candied-ginger/,https://themeatmen.sg/wp-content/uploads/2021/12/DSC05170.jpeg,['1 hr'],easy
https://themeatmen.sg/christmas-sweet-potato-pumpkin-mash/,https://themeatmen.sg/wp-content/uploads/2021/12/DSC05203.jpeg,['20 mins'],easy
https://themeatmen.sg/prawn-taco-cabbage-slaw/,https://themeatmen.sg/wp-content/uploads/2021/12/DSC05153.jpeg,['15 mins'],easy
https://themeatmen.sg/christmas-pork-roll-with-black-garlic-stuffing/,https://themeatmen.sg/wp-content/uploads/2021/12/DSC05144.jpeg,['1 hr 30 mins'],easy
https://themeatmen.sg/tomahawk-ribeye-steak-duck-fat-roasted-potatoes/,https://themeatmen.sg/wp-content/uploads/2021/12/DSC05077-1.jpeg,['45 mins'],easy
https://themeatmen.sg/hainanese-beef-noodles/,https://themeatmen.sg/wp-content/uploads/2021/12/DSC04641_L.jpeg,['2 hrs'],easy
https://themeatmen.sg/chicken-char-siew/,https://themeatmen.sg/wp-content/uploads/2021/11/DSC02072_L-1.jpeg,['1 hr'],easy
https://themeatmen.sg/old-cucumber-soup/,https://themeatmen.sg/wp-content/uploads/2021/11/DSC02371.jpeg,['2hr 15min'],easy
https://themeatmen.sg/korean-style-marinated-pork-belly/,https://themeatmen.sg/wp-content/uploads/2021/11/DSC04768_L_169.jpeg,['1 hr 15 min'],easy
https://themeatmen.sg/seafood-pao-fan/,https://themeatmen.sg/wp-content/uploads/2021/11/DSC01768_thumb-e1636441029814.jpg,['1hr 45 mnins'],easy
https://themeatmen.sg/stir-fried-beef-with-broccoli/,https://themeatmen.sg/wp-content/uploads/2021/11/DSC04731-scaled-e1635833282802.jpeg,['1 hr 30 mins'],easy
https://themeatmen.sg/kueh-talam/,https://themeatmen.sg/wp-content/uploads/2021/10/SIS-edited-copy.jpeg,['1 hour; 2 to 3 hours of chilling before serving'],easy
https://themeatmen.sg/beef-bolognese/,https://themeatmen.sg/wp-content/uploads/2021/10/Image-from-iOS-1-e1635229991327.jpg,['3 hours'],easy
https://themeatmen.sg/penang-char-kway-teow/,https://themeatmen.sg/wp-content/uploads/2021/10/DSC01427_thumb-e1634631137629.jpg,['30 minutes'],easy
https://themeatmen.sg/maggi-sambal-tahu-goreng/,https://themeatmen.sg/wp-content/uploads/2021/10/Screenshot-2021-10-12-at-9.59.52-AM.jpeg,['10 min'],easy
https://themeatmen.sg/kaya-soft-bread/,https://themeatmen.sg/wp-content/uploads/2021/10/IMG_6960-scaled-e1634026887752.jpg,['3.5 hours'],easy
https://themeatmen.sg/air-fryer-roasted-duck-leg/,https://themeatmen.sg/wp-content/uploads/2021/10/DSC02135-THUMB-e1633415828706-1.jpg,['15 min'],easy
https://themeatmen.sg/maggi-sambal-popcorn-chicken/,https://themeatmen.sg/wp-content/uploads/2021/10/youtube-thumbnail-21-1-scaled-1.jpg,['10 mins'],easy
https://themeatmen.sg/maggi-sambal-fried-rice/,https://themeatmen.sg/wp-content/uploads/2021/10/youtube-thumbnail-21-scaled-1.jpg,['10 min'],easy
https://themeatmen.sg/blue-pea-nasi-lemak/,https://themeatmen.sg/wp-content/uploads/2021/09/111111-e1632807499541.jpg,['1-2 hr'],easy
https://themeatmen.sg/ayam-buah-keluak/,https://themeatmen.sg/wp-content/uploads/2021/09/DSC01375_thumb.jpg,['5 hr'],easy
https://themeatmen.sg/three-cup-chicken-with-essence-of-chicken/,https://themeatmen.sg/wp-content/uploads/2021/09/DSC01147_thumb-e1630902912847.jpg,['30 min'],easy
https://themeatmen.sg/beef-hor-fun-2/,https://themeatmen.sg/wp-content/uploads/2021/08/DSC00078_thumb.jpg,['30 min'],easy
https://themeatmen.sg/braised-soy-sauce-pork-ribs-with-dried-chillis/,https://themeatmen.sg/wp-content/uploads/2021/08/DSC00016-THUMB.jpg,['1 hr'],easy
https://themeatmen.sg/prawn-and-avocado-tostada/,https://themeatmen.sg/wp-content/uploads/2021/08/DSC00164-S-e1629450716625.jpg,['15 min'],easy
https://themeatmen.sg/sambal-sotong-2/,https://themeatmen.sg/wp-content/uploads/2021/08/DSC09631_thumb-e1629183246352.jpg,['15 min'],easy
https://themeatmen.sg/peach-oolong-ice-cream/,https://themeatmen.sg/wp-content/uploads/2021/08/DSC00822-THUMB-e1628570788795.jpg,['4 hr'],easy
